file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test6.tif	2048	1536	fast_grid	54	54	1	94.415	3.044	0.026	122.620	33.554	29.668	186.343	289.788	5.366442	3.450800	2.270743	
test70.tif	2048	1536	fast_grid	54	54	1	91.582	3.264	0.021	123.230	32.235	30.730	186.509	289.530	5.361673	3.453869	2.282033	
test71.tif	2048	1536	fast_grid	54	54	1	91.014	3.300	0.023	123.584	34.631	28.546	187.080	288.646	5.345293	3.464453	2.288593	
test72.tif	2048	1536	fast_grid	54	54	1	92.426	3.018	0.020	123.265	34.512	28.509	186.557	289.455	5.360279	3.454767	2.282690	
test73.tif	2048	1536	fast_grid	54	54	1	95.105	3.049	0.019	125.312	34.113	29.234	190.245	283.844	5.256370	3.523062	2.320600	
test74.tif	2048	1536	fast_grid	54	54	1	90.956	3.061	0.021	121.472	32.666	30.524	185.065	291.789	5.403509	3.427129	2.249482	
test75.tif	2048	1536	fast_grid	54	54	1	91.998	3.291	0.021	125.314	32.743	30.240	188.642	286.257	5.301049	3.493368	2.320627	
test76.tif	2048	1536	fast_grid	54	54	1	87.948	3.304	0.023	127.913	33.334	29.988	191.725	281.654	5.215808	3.550460	2.368765	
test77.tif	2048	1536	fast_grid	54	54	1	94.374	2.974	0.022	126.012	32.443	30.392	189.160	285.473	5.286543	3.502954	2.333548	
test78.tif	2048	1536	fast_grid	54	54	1	91.038	2.963	0.021	120.739	32.896	30.477	185.604	290.942	5.387806	3.437117	2.235916	
test79.tif	2048	1536	fast_grid	54	54	1	92.047	3.054	0.021	120.810	32.890	29.981	184.124	293.281	5.431130	3.409699	2.237229	
test7.tif	2048	1536	fast_grid	54	54	1	102.806	3.959	0.031	123.656	32.429	30.658	187.075	288.655	5.345454	3.464349	2.289927	
test80.tif	2048	1536	fast_grid	54	54	1	100.295	3.192	0.022	121.014	32.703	30.380	184.456	292.753	5.421348	3.415851	2.241009	
test81.tif	2048	1536	fast_grid	54	54	1	95.680	2.967	0.023	225.394	32.259	30.684	288.750	187.013	3.463201	5.347226	4.173971	
test82.tif	2048	1536	fast_grid	54	54	1	93.625	3.028	0.023	128.219	33.607	29.603	193.141	279.589	5.177565	3.576685	2.374432	
test83.tif	2048	1536	fast_grid	54	54	1	90.313	3.061	0.210	122.950	32.528	30.474	186.651	289.310	5.357588	3.456503	2.276855	
test84.tif	2048	1536	fast_grid	54	54	1	95.412	3.263	0.040	123.551	32.405	30.650	187.021	288.738	5.347003	3.463346	2.287990	
test85.tif	2048	1536	fast_grid	54	54	1	90.134	3.030	0.042	123.644	36.182	27.117	187.417	288.127	5.335682	3.470694	2.289699	
test86.tif	2048	1536	fast_grid	54	54	1	94.123	2.959	0.035	122.667	32.165	30.903	186.041	290.258	5.375151	3.445209	2.271609	
test87.tif	2048	1536	fast_grid	54	54	1	94.704	3.377	0.024	120.746	31.876	30.912	185.156	291.646	5.400861	3.428809	2.236043	
test88.tif	2048	1536	fast_grid	54	54	1	93.874	3.037	0.018	213.974	32.255	30.543	277.260	194.763	3.606726	5.134439	3.962482	
test89.tif	2048	1536	fast_grid	54	54	1	93.109	3.278	0.017	210.196	32.448	30.632	273.619	197.354	3.654712	5.067025	3.892510	
test8.tif	2048	1536	fast_grid	54	54	1	90.906	3.231	0.019	206.635	32.209	30.776	269.979	200.015	3.703990	4.999614	3.826583	
test90.tif	2048	1536	fast_grid	54	54	1	91.720	2.961	0.020	214.664	32.451	30.671	278.275	194.053	3.593569	5.153239	3.975268	
test91.tif	2048	1536	fast_grid	54	54	1	91.900	2.928	0.020	227.938	33.283	30.192	293.178	184.189	3.410901	5.429217	4.221066	
test92.tif	2048	1536	fast_grid	54	54	1	94.364	2.958	0.018	123.749	33.469	29.939	187.697	287.698	5.327746	3.475863	2.291647	
test93.tif	2048	1536	fast_grid	54	54	1	87.739	3.155	0.024	123.887	36.886	26.930	188.087	287.101	5.316681	3.483098	2.294201	
test94.tif	2048	1536	fast_grid	54	54	1	88.465	3.038	0.044	125.556	32.695	30.238	188.861	285.924	5.294893	3.497430	2.325120	
test95.tif	2048	1536	fast_grid	54	54	1	97.304	2.764	0.030	125.617	32.260	30.901	189.216	285.388	5.284957	3.504006	2.326238	
test96.tif	2048	1536	fast_grid	54	54	1	94.167	5.834	0.021	121.947	32.457	30.458	186.447	289.626	5.363450	3.452725	2.258281	
test97.tif	2048	1536	fast_grid	54	54	1	88.315	3.101	0.020	117.494	32.340	30.611	180.721	298.804	5.533405	3.346677	2.175810	
test98.tif	2048	1536	fast_grid	54	54	1	98.041	3.206	0.022	117.926	32.400	30.500	181.150	298.096	5.520295	3.354625	2.183821	
test99.tif	2048	1536	fast_grid	54	54	1	88.547	3.179	0.022	119.839	32.497	30.434	183.061	294.984	5.462663	3.390017	2.219236	
test9.tif	2048	1536	fast_grid	54	54	1	91.781	2.923	0.020	117.969	33.103	29.971	181.330	297.799	5.514793	3.357971	2.184611	
